,Generation,Population_size,Num_species,"list_of_[ID,age,size,fitness,adj_fit,stag]",Total_extinctions,Generation_time,Average_time,Average_fitness,Stdev_fitness,Best_genome_fitness
42,42,100,1,"[[1, 42, 100, '720.2', '0.289', 19]]",0,636.0250794887543,654.2131734609604,145.60637799394524,222.0178185983957,720.2292490118473
43,43,100,1,"[[1, 43, 100, '781.0', '0.230', 0]]",0,608.4362692832947,651.887676692009,116.80784108024987,206.75105243785245,780.9999999999856
44,44,100,1,"[[1, 44, 100, '556.2', '0.293', 1]]",0,622.4656598567963,658.7173810720444,103.08049400740592,180.28992320456757,556.1650165016393
45,45,100,1,"[[1, 45, 100, '773.9', '0.250', 2]]",0,637.2625753879547,658.7004442453384,128.06592743437818,204.54215189642653,773.8571428571273
46,46,100,1,"[[1, 46, 100, '709.0', '0.222', 3]]",0,539.2688727378845,645.4118249416351,89.18840719256319,205.38425234947886,708.9739776951546
47,47,100,1,"[[1, 47, 100, '619.8', '0.258', 4]]",0,576.0585398674011,630.9527297258377,95.48576507312235,183.87013410118195,619.7809187279036
48,48,100,1,"[[1, 48, 100, '663.6', '0.262', 5]]",0,615.5903387069702,616.4102647066117,109.01995033926183,187.94837353520984,663.5757575757436
49,49,100,1,"[[1, 49, 100, '696.8', '0.233', 6]]",0,558.4320957660675,603.0436287879944,94.86563054556318,201.0017493885572,696.7801418439612
50,50,100,1,"[[1, 50, 100, '703.3', '0.236', 7]]",0,562.5849719047546,598.0438346624375,98.3940796492424,200.3211689246618,703.2972972972825
51,51,100,1,"[[1, 51, 100, '781.0', '0.194', 8]]",0,524.461418390274,588.0585821390152,80.68345195947522,182.00585187897263,780.9999999999842
52,52,100,1,"[[1, 52, 100, '623.8', '0.244', 9]]",0,574.2649946212769,581.8825736522674,86.16262742600989,182.65599217739523,623.7700348431952
53,53,100,1,"[[1, 53, 100, '754.0', '0.260', 10]]",0,576.5795829296112,578.6969050168991,130.58488473579646,215.83337021714289,753.999999999987
54,54,100,1,"[[1, 54, 100, '666.1', '0.295', 11]]",0,647.924996137619,581.2428386449814,134.3281182407845,215.99951065476975,666.1476014760043
55,55,100,1,"[[1, 55, 100, '672.3', '0.223', 12]]",0,482.8712592124939,565.8037070274353,81.44545002148128,208.32273163611626,672.3233576642215
56,56,100,1,"[[1, 56, 100, '694.5', '0.305', 13]]",0,641.5746591091156,576.0342856645584,151.22993961661203,213.11341095359742,694.461538461526
57,57,100,1,"[[1, 57, 100, '769.5', '0.274', 14]]",0,593.4480373859406,577.7732354164124,147.17187343270754,233.48789004668853,769.468634686336
58,58,100,1,"[[1, 58, 100, '791.5', '0.260', 0]]",0,557.2023687362671,571.9344384193421,140.5220086140922,249.9813792560925,791.4961832060951
