,Generation,Population_size,Num_species,"list_of_[ID,age,size,fitness,adj_fit,stag]",Total_extinctions,Generation_time,Average_time,Average_fitness,Stdev_fitness,Best_genome_fitness
74,74,32,1,"[[1, 74, 32, '844.5', '0.399', 2]]",0,529.4899570941925,497.7760139942169,301.64995513900357,252.33541904856608,844.4615384615227
75,75,32,1,"[[1, 75, 32, '806.4', '0.361', 3]]",0,455.47572469711304,492.6136381387711,245.72163091455005,287.9794372672201,806.3831417624442
76,76,32,1,"[[1, 76, 32, '745.1', '0.474', 4]]",0,535.2267200946808,495.7023052692413,314.26497371558463,258.50678396010267,745.0804597701066
77,77,32,1,"[[1, 77, 32, '625.1', '0.507', 5]]",0,510.50129413604736,508.919543671608,289.7526056021364,226.84385156542658,625.1011235954945
78,78,32,1,"[[1, 78, 32, '774.6', '0.479', 6]]",0,520.1708507537842,513.1947305202484,331.0290933061486,248.87797970736253,774.6131386861165
79,79,32,1,"[[1, 79, 32, '727.6', '0.463', 7]]",0,522.3282034397125,512.0355557918549,302.9176567987525,256.7079315280201,727.5767634854677
80,80,32,1,"[[1, 80, 32, '647.1', '0.545', 8]]",0,531.9700446128845,513.2660991668702,315.813621273311,257.4369291227749,647.1003236245836
81,81,32,1,"[[1, 81, 32, '837.3', '0.384', 9]]",0,451.7050943374634,499.72698652744293,271.45933007791444,266.5273575158607,837.2977099236549
82,82,32,1,"[[1, 82, 32, '679.9', '0.403', 10]]",0,411.8760018348694,493.68850498199464,221.50459516236592,249.70727395086027,679.8515901059955
83,83,32,1,"[[1, 83, 32, '745.4', '0.315', 11]]",0,402.4348928928375,487.1178783893585,180.33650494602867,256.6470753663211,745.416058394148
84,84,32,1,"[[1, 84, 32, '797.6', '0.352', 12]]",0,450.7458140850067,479.24346408843996,228.35348270099317,279.20983145545006,797.6083916083778
85,85,32,1,"[[1, 85, 32, '688.3', '0.426', 13]]",0,483.1518087387085,482.0110724925995,250.94595894697318,239.91841339258622,688.3129251700597
