,Generation,Population_size,Num_species,"list_of_[ID,age,size,fitness,adj_fit,stag]",Total_extinctions,Generation_time,Average_time,Average_fitness,Stdev_fitness,Best_genome_fitness
14,14,34,9,"[[3, 14, 2, '-18.7', '0.163', 0], [10, 14, 6, '29.3', '0.410', 0], [11, 14, 6, '68.0', '0.467', 1], [13, 11, 2, '-43.9', '0.176', 4], [14, 9, 6, '55.7', '0.378', 2], [15, 5, 3, '-20.4', '0.171', 2], [16, 5, 3, '-54.1', '0.113', 1], [17, 3, 2, '-43.6', '0.185', 0], [18, 0, 1, '--', '--', 0]]",0,162.86286211013794,147.36837406158446,-42.80410006153952,37.86766379254605,67.97951070336524
15,15,31,9,"[[3, 15, 3, '-45.0', '0.151', 1], [10, 15, 1, '-16.9', '0.156', 1], [11, 15, 9, '164.1', '0.595', 2], [14, 10, 5, '33.2', '0.225', 3], [15, 6, 2, '-48.2', '0.091', 3], [16, 6, 2, '-53.3', '0.106', 2], [17, 4, 3, '-38.5', '0.185', 0], [18, 1, 2, '-87.0', '0.002', 0], [19, 0, 4, '--', '--', 0]]",0,218.55392050743103,150.73899660110473,-27.203579256211842,64.04947533310197,164.08181818182018
16,16,31,9,"[[3, 16, 2, '-61.1', '0.075', 2], [10, 16, 3, '-38.0', '0.202', 2], [11, 16, 6, '160.5', '0.371', 3], [14, 11, 3, '-43.2', '0.081', 4], [15, 7, 3, '-31.6', '0.194', 4], [16, 7, 3, '-51.4', '0.123', 3], [17, 5, 2, '-37.5', '0.120', 0], [18, 2, 4, '-87.2', '0.002', 1], [19, 1, 5, '-23.5', '0.193', 0]]",0,123.16646981239319,146.5569746017456,-40.46393034339944,57.87935265196411,160.51254612546305
17,17,31,9,"[[3, 17, 3, '-66.3', '0.060', 3], [10, 17, 2, '-54.7', '0.095', 3], [11, 17, 6, '160.5', '0.242', 4], [16, 8, 6, '81.5', '0.292', 0], [17, 6, 3, '-51.5', '0.089', 1], [18, 3, 4, '-82.4', '0.007', 0], [19, 2, 3, '5.5', '0.157', 0], [20, 0, 2, '--', '--', 0], [21, 0, 3, '--', '--', 0]]",0,120.77247977256775,142.35310456752777,-49.28191843926617,49.91371701215809,160.51254612546305
18,18,32,10,"[[3, 18, 2, '-59.6', '0.078', 4], [10, 18, 2, '-50.3', '0.062', 4], [11, 18, 6, '250.1', '0.403', 0], [16, 9, 4, '-32.5', '0.105', 1], [17, 7, 2, '-28.6', '0.116', 0], [18, 4, 2, '-83.0', '0.005', 1], [19, 3, 4, '-5.7', '0.147', 1], [20, 1, 2, '-58.3', '0.053', 0], [21, 1, 7, '263.0', '0.454', 0], [22, 0, 3, '--', '--', 0]]",0,182.8940212726593,144.76404705047608,-25.823623466203514,88.86831052037552,263.04285714285544
19,19,34,8,"[[11, 19, 6, '123.7', '0.260', 1], [16, 10, 3, '-36.0', '0.062', 2], [17, 8, 2, '-35.7', '0.074', 1], [18, 5, 6, '215.0', '0.512', 0], [19, 4, 3, '-2.3', '0.107', 2], [20, 2, 2, '-41.3', '0.068', 0], [21, 2, 8, '331.5', '0.330', 0], [22, 1, 2, '-79.6', '0.008', 0]]",0,216.76962423324585,152.53037478923798,-12.54146015772951,92.35130192851679,331.50553633217436
20,20,32,9,"[[11, 20, 1, '201.5', '0.305', 2], [16, 11, 2, '-26.5', '0.094', 3], [17, 9, 2, '-48.3', '0.066', 2], [18, 6, 10, '3.2', '0.067', 1], [19, 5, 2, '-11.6', '0.084', 3], [20, 3, 4, '3.2', '0.193', 0], [21, 3, 5, '344.6', '0.349', 0], [22, 2, 2, '-74.9', '0.021', 0], [23, 0, 4, '--', '--', 0]]",0,211.54728960990906,162.23211040496827,-5.576887232598135,103.88784041364154,344.6096774193523
21,21,32,10,"[[11, 21, 5, '140.2', '0.328', 3], [16, 12, 2, '-55.8', '0.040', 4], [17, 10, 2, '-39.8', '0.050', 3], [18, 7, 5, '171.1', '0.096', 2], [19, 6, 2, '-29.9', '0.060', 4], [20, 4, 3, '10.0', '0.085', 0], [21, 4, 2, '85.2', '0.148', 1], [22, 3, 3, '-81.2', '0.002', 1], [23, 1, 6, '599.1', '0.287', 0], [24, 0, 2, '--', '--', 0]]",0,230.3158221244812,174.06619424819945,-2.6186148116810943,123.32096062375355,599.0693069306851
22,22,32,9,"[[11, 22, 4, '60.7', '0.142', 4], [17, 11, 3, '-20.7', '0.136', 0], [18, 8, 4, '169.6', '0.200', 3], [20, 5, 2, '-17.2', '0.107', 1], [21, 5, 3, '21.4', '0.140', 2], [22, 4, 1, '-80.5', '0.015', 2], [23, 2, 8, '301.3', '0.310', 1], [24, 1, 4, '85.2', '0.287', 0], [25, 0, 1, '--', '--', 0]]",0,183.3777916431427,179.70920579433442,-21.21407471510762,82.48226509596142,301.3154727793685
23,23,30,8,"[[17, 12, 2, '-51.8', '0.029', 1], [18, 9, 7, '311.8', '0.243', 0], [20, 6, 3, '-17.2', '0.074', 2], [21, 6, 4, '26.6', '0.093', 3], [22, 5, 2, '-73.8', '0.018', 0], [23, 3, 9, '676.0', '0.185', 0], [24, 2, 3, '-19.5', '0.043', 1], [25, 1, 2, '-60.1', '0.036', 0]]",0,236.78833842277527,188.70486195087432,11.57574181077377,156.25595558754213,676.0348432055606
24,24,32,--,[],--,--,--,19.938102573126336,174.50411792013585,875.6969696969519
